crosslist, primary
COML626401,SPAN630401
COML700401,ENGL775401
COML786401,ITAL685401
COML787401,ARTH794401
CPLN590401,MUSA507401
CPLN590402,MUSA507402
CPLN590403,MUSA507403
CPLN625401,URBS451401
CPLN670401,LARP743401
CPLN671401,MUSA500401
CRIM402401,CRIM602401
DTCH501401,DTCH101401
EALC036401,RELS273401
EALC041401,HIST096401
EALC105401,HIST395401
EALC105402,HIST395402
EALC105403,HIST395403
EALC105404,HIST395404
EALC105405,HIST395405
EALC105406,HIST395406
EALC105407,HIST395407
EALC145401,HIST393401
EALC221401,CHIN491401
EALC257401,RELS258401
EALC293401,EALC693401
EALC505401,HIST395401
EALC505406,HIST395406
EALC527401,EALC127401
EALC527402,EALC127402
EALC527403,EALC127403
EALC527404,EALC127404
EALC532401,EALC132401
EALC552401,EALC152401
EALC565401,EALC165401
EALC583401,EALC183401
EALC584401,EALC184401
EALC621401,CHIN491401
EALC623401,EALC223401
EALC636401,EALC236401
EALC640401,EALC240401
EALC655401,EALC255401
EALC657401,RELS258401
EAS501401,EAS401401
EAS503401,EAS403401
EAS505401,EAS301401
ECON013401,PPE311401
ECON028401,HIST131401
ECON039401,HCMG202401
EEUR152401,RUSS123401
EEUR560401,RUSS160401
ENGL017401,ARTH100401
ENGL078601,CIMS103601
ENGL087401,THAR101401
ENGL092401,CIMS102401
ENGL092601,CIMS102601
ENGL110401,CIMS117401
ENGL129401,FNAR315401
ENGL276401,THAR275401
ENGL277401,COML191401
ENGL285401,THAR271401
ENGL291401,CIMS201401
ENGL302401,CIMS320401
ENGL380401,AFRC325401
ENGL537401,FREN550401
ENGL601401,COML501401
ENGL643401,GRMN543401
ENGL793401,ARTH794401
ENVS605401,ENVS305401
EPID518401,PUBH517401
EPID600401,BMIN503401
EPID632401,BMIN501401
ESE504401,OIDD910401
ESE504402,OIDD910402
ESE507401,ESE407401
ESE540401,ESE400401
ESE542401,ESE402401
ESE542402,ESE402402
ESE544401,ESE444401
ESE544402,ESE444402
ESE548401,CPLN650401
ESE572401,ESE419401
FNAR500401,FNAR300401
FNAR506401,FNAR306401
FNAR507401,FNAR307401
FNAR508401,FNAR148401
FNAR508402,FNAR148402
FNAR523401,FNAR123401
FNAR523402,FNAR123402
FNAR523403,FNAR123403
FNAR523404,FNAR123404
FNAR523405,FNAR123405
FNAR524401,FNAR124401
FNAR525401,FNAR225401
FNAR530401,FNAR330401
FNAR531401,FNAR231401
FNAR531402,FNAR231402
FNAR531403,FNAR231403
FNAR532401,FNAR232401
FNAR534401,FNAR334401
FNAR536401,FNAR236401
FNAR538401,FNAR238401
FNAR540401,FNAR240401
FNAR541401,FNAR241401
FNAR545401,FNAR145401
FNAR545402,FNAR145402
FNAR546401,FNAR146401
FNAR550401,FNAR250401
FNAR552401,FNAR252401
FNAR558401,FNAR258401
FNAR558402,FNAR258402
FNAR558403,FNAR258403
FNAR559401,FNAR259401
FNAR563401,FNAR263401
FNAR566401,FNAR266401
FNAR566402,FNAR266402
FNAR567401,FNAR267401
FNAR568401,FNAR268401
FNAR569401,FNAR269401
FNAR571401,FNAR271401
FNAR571402,FNAR271402
FNAR571403,FNAR271403
FNAR571404,FNAR271404
FNAR574401,FNAR274401
FNAR577401,FNAR277401
FNAR578401,FNAR278401
FNAR580401,FNAR280401
FNAR580402,FNAR280402
FNAR583401,FNAR083401
FNAR601401,FNAR501401
FNAR604401,FNAR305401
FNAR607401,FNAR147401
FNAR613401,FNAR313401
FNAR615401,FNAR315401
FNAR620401,FNAR220401
FNAR622401,FNAR222401
FNAR633401,FNAR233401
FNAR634401,FNAR234401
FNAR635401,FNAR235401
FNAR635402,FNAR235402
FNAR635403,FNAR235403
FNAR636401,FNAR264401
FNAR636402,FNAR264402
FNAR636403,FNAR264403
FNAR636404,FNAR264404
FNAR636405,FNAR264405
FNAR636406,FNAR264406
FNAR640401,FNAR340401
FNAR640402,FNAR340402
FNAR640403,FNAR340403
FNAR640404,FNAR340404
FNAR640405,FNAR340405
FNAR640406,FNAR340406
FNAR640407,FNAR340407
FNAR640408,FNAR340408
FNAR640409,FNAR340409
FNAR640410,FNAR340410
FNAR642401,FNAR342401
FNAR642402,FNAR342402
FNAR648401,FNAR348401
FNAR661401,FNAR061401
FNAR661402,FNAR061402
FNAR661403,FNAR061403
FNAR661404,FNAR061404
FNAR661405,FNAR061405
FNAR661406,FNAR061406
FNAR661407,FNAR061407
FNAR662401,FNAR062401
FNAR663401,FNAR063401
FNAR665401,FNAR065401
FNAR670401,FNAR370401
FNAR671401,FNAR070401
FNAR674401,FNAR074401
FNAR676401,FNAR076401
FNAR677401,FNAR177401
FNAR684401,FNAR284401
FNAR685401,FNAR285401
FNAR703401,FNAR701401
FNAR703402,FNAR701402
FNAR703403,FNAR701403
FNAR803401,FNAR801401
FNCE206401,FNCE717401
FNCE291401,FNCE791401
FNCE730401,BEPP773401
FNCE893401,FNCE393401
FOLK022401,MUSC050401
FOLK022402,MUSC050402
FOLK022403,MUSC050403
FOLK253401,MUSC256401
FOLK280401,NELC258401
FOLK485401,EALC255401
GAFL509401,URBS320401
GAFL569401,URBS451401
GEOL509401,GEOL409401
GEOL531401,GEOL201401
GEOL531402,GEOL201402
GEOL541401,GEOL421401
GRMN145401,HIST303401
GRMN501401,GRMN101401
GRMN501402,GRMN101402
GRMN501403,GRMN101403
GRMN501404,GRMN101404
GRMN502401,GRMN102401
GRMN502402,GRMN102402
GRMN503401,GRMN103401
GRMN503402,GRMN103402
GRMN503403,GRMN103403
GRMN504401,GRMN104401
GRMN504402,GRMN104402
GRMN505401,GRMN106401
GRMN506401,GRMN203401
GRMN534401,COML501401
GRMN583401,PHIL468401
GSWS060401,ENGL070401
GSWS104401,CLST101401
GSWS114401,SOCI112401
GSWS119401,HIST118401
GSWS119402,HIST118402
GSWS119403,HIST118403
GSWS119404,HIST118404
GSWS275401,NELC290401
GSWS344401,EDUC345401
GSWS575401,NELC290401
GSWS598401,PSCI530401
HCMG204401,HCMG859401
HCMG250401,HCMG850401
HCMG352401,HCMG852401
HEBR451401,HEBR151401
HEBR453401,HEBR153401
HEBR552401,HEBR059401
HEBR651401,HEBR051401
HEBR651402,HEBR051402
HEBR652401,HEBR052401
HEBR653401,HEBR053401
HEBR653402,HEBR053402
HEBR654401,HEBR054401
HEBR654402,HEBR054402
HIST024401,NELC101401
HIST024402,NELC101402
HIST024403,NELC101403
HIST024404,NELC101404
HIST036401,HSOC002401
HIST036402,HSOC002402
HIST036403,HSOC002403
HIST036404,HSOC002404
HIST036405,HSOC002405
HIST085401,SAST008401
HIST089401,SAST001401
HIST173401,URBS178401
HIST209401,URBS103401
HIST440401,URBS420401
HIST479401,NELC335401
HIST575401,DTCH574401
HPR504401,NURS612401
HSOC275401,SOCI175401
IPD504401,BE514401
IPD515401,OIDD415401
IPD521401,ARCH721401
IPD568401,FNAR268401
IPD572401,ARCH725401
ITAL602401,MUSC604401
JWST031401,YDSH101401
JWST033401,YDSH103401
JWST041401,NELC034401
JWST100401,NELC252401
JWST131401,RELS130401
JWST151401,NELC156401
JWST154401,NELC159401
JWST171401,HEBR151401
JWST173401,HEBR153401
JWST255401,NELC250401
JWST260401,NELC258401
JWST262401,ENGL261401
JWST471401,HEBR151401
JWST473401,HEBR153401
JWST523401,HEBR583401
LALS060401,ENGL070401
LALS396401,SPAN390401
LALS397401,SPAN396401
LALS397402,SPAN396402
LALS398401,SPAN397401
LALS398402,SPAN397402
LALS437401,AFRC436401
LALS667401,ARTH267401
LARP770001,LARP540001
LAW708401,PSCI358401
LAW737401,NELC638401
LAW908401,FNCE791401
LAW914401,COMM703401
LEAD305610,DATA101610
LEAD340610,APOP100610
LEAD350620,APOP120620
LEAD360620,APOP200620
LGIC210401,MATH340401
LGIC310401,MATH570401
LGST206401,OIDD291401
LGST206402,OIDD291402
